🎵 СГЕНЕРИРОВАННАЯ МУЗЫКАЛЬНАЯ ПОСЛЕДОВАТЕЛЬНОСТЬ 🎵
==================================================
Нот: 50
Темп: 120 BPM
Инструмент: Acoustic Grand Piano
==================================================

[  0] C4  | vel=0.59 | start=16.44 | dur=0.66
[  1] F#-1 | vel=0.58 | start=17.10 | dur=0.65
[  2] G1  | vel=0.59 | start=17.75 | dur=0.66
[  3] C4  | vel=0.60 | start=18.41 | dur=0.67
[  4] C4  | vel=0.60 | start=19.08 | dur=0.68
[  5] G2  | vel=0.60 | start=19.76 | dur=0.69
[  6] B1  | vel=0.61 | start=20.44 | dur=0.69
[  7] A#3 | vel=0.61 | start=21.14 | dur=0.69
[  8] D4  | vel=0.60 | start=21.83 | dur=0.69
[  9] D3  | vel=0.60 | start=22.52 | dur=0.69
[ 10] C4  | vel=0.60 | start=23.22 | dur=0.69
[ 11] C#2 | vel=0.60 | start=23.91 | dur=0.70
[ 12] B1  | vel=0.59 | start=24.61 | dur=0.71
[ 13] D#1 | vel=0.59 | start=25.33 | dur=0.71
[ 14] B2  | vel=0.60 | start=26.03 | dur=0.70
[ 15] E2  | vel=0.60 | start=26.73 | dur=0.71
[ 16] C#3 | vel=0.60 | start=27.45 | dur=0.71
[ 17] C#3 | vel=0.60 | start=28.16 | dur=0.70
[ 18] F#3 | vel=0.59 | start=28.86 | dur=0.69
[ 19] D4  | vel=0.59 | start=29.55 | dur=0.69
[ 20] B2  | vel=0.59 | start=30.25 | dur=0.70
[ 21] C4  | vel=0.59 | start=30.94 | dur=0.70
[ 22] G#3 | vel=0.59 | start=31.65 | dur=0.70
[ 23] D3  | vel=0.60 | start=32.35 | dur=0.70
[ 24] F#3 | vel=0.59 | start=33.05 | dur=0.70
[ 25] A2  | vel=0.60 | start=33.74 | dur=0.69
[ 26] C4  | vel=0.60 | start=34.43 | dur=0.69
[ 27] B2  | vel=0.60 | start=35.13 | dur=0.70
[ 28] E3  | vel=0.60 | start=35.82 | dur=0.70
[ 29] C4  | vel=0.60 | start=36.52 | dur=0.70
[ 30] D3  | vel=0.60 | start=37.22 | dur=0.70
[ 31] A#3 | vel=0.60 | start=37.91 | dur=0.70
[ 32] B2  | vel=0.60 | start=38.61 | dur=0.70
[ 33] C#3 | vel=0.60 | start=39.31 | dur=0.70
[ 34] B2  | vel=0.60 | start=40.01 | dur=0.70
[ 35] A2  | vel=0.60 | start=40.71 | dur=0.70
[ 36] E1  | vel=0.60 | start=41.41 | dur=0.70
[ 37] D3  | vel=0.60 | start=42.11 | dur=0.70
[ 38] E2  | vel=0.60 | start=42.81 | dur=0.70
[ 39] G3  | vel=0.60 | start=43.51 | dur=0.70
[ 40] E3  | vel=0.60 | start=44.21 | dur=0.70
[ 41] G0  | vel=0.59 | start=44.91 | dur=0.70
[ 42] A3  | vel=0.59 | start=45.61 | dur=0.70
[ 43] B2  | vel=0.59 | start=46.30 | dur=0.70
[ 44] C3  | vel=0.59 | start=47.00 | dur=0.70
[ 45] F#3 | vel=0.59 | start=47.70 | dur=0.70
[ 46] D#2 | vel=0.59 | start=48.40 | dur=0.70
[ 47] E3  | vel=0.60 | start=49.10 | dur=0.70
[ 48] D4  | vel=0.60 | start=49.79 | dur=0.70
[ 49] B2  | vel=0.60 | start=50.49 | dur=0.70
